"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"""
6.581627050E-1,1.460463107E-1,8.619125932E-2,9.943717957E0
6.601712990E-1,1.292868853E-1,9.337386489E-2,9.948506355E0
6.621798930E-1,1.460463107E-1,1.077390760E-1,9.950901031E0
6.641884860E-1,1.388636976E-1,9.816227108E-2,9.931747437E0
6.661970800E-1,1.364694983E-1,1.029506698E-1,9.934141159E0
6.682056740E-1,1.508347094E-1,9.816227108E-2,9.929352760E0
6.702142680E-1,1.412578970E-1,1.053448766E-1,9.946112633E0
6.722228610E-1,1.604115069E-1,9.816227108E-2,9.965266228E0
6.742314030E-1,1.484405100E-1,9.576806426E-2,9.965266228E0
6.762399450E-1,1.508347094E-1,1.077390760E-1,9.962871552E0
6.782484860E-1,1.412578970E-1,1.053448766E-1,9.943717957E0
6.802570280E-1,1.460463107E-1,8.858546615E-2,9.941324234E0
6.822655700E-1,1.604115069E-1,1.101332754E-1,9.960477829E0
6.842741110E-1,1.508347094E-1,1.149216816E-1,9.986813545E0
6.862826530E-1,1.508347094E-1,9.097966552E-2,9.979631424E0
6.882911950E-1,1.508347094E-1,1.077390760E-1,9.960477829E0
6.902997360E-1,1.508347094E-1,1.101332754E-1,9.982025146E0
6.923082780E-1,1.580173075E-1,1.029506698E-1,9.950901031E0
6.943168200E-1,1.388636976E-1,1.005564705E-1,9.965266228E0
6.963253610E-1,1.460463107E-1,1.077390760E-1,9.974843025E0
6.983339030E-1,1.412578970E-1,1.149216816E-1,9.974843025E0
7.003424450E-1,1.532289088E-1,9.576806426E-2,9.967659950E0
7.023509860E-1,1.460463107E-1,1.221042871E-1,9.946112633E0
7.043595280E-1,1.316810995E-1,1.125274822E-1,9.917382240E0
7.063680700E-1,1.532289088E-1,9.816227108E-2,9.914987564E0
7.083766110E-1,1.532289088E-1,1.173158810E-1,9.960477829E0
7.103851530E-1,1.364694983E-1,1.077390760E-1,9.960477829E0
7.123936950E-1,1.436520964E-1,1.149216816E-1,9.965266228E0
7.144022360E-1,1.460463107E-1,9.576806426E-2,9.955689430E0
7.164107780E-1,1.556231081E-1,1.173158810E-1,9.946112633E0
7.184193200E-1,1.556231081E-1,1.149216816E-1,9.941324234E0
7.204278610E-1,1.484405100E-1,1.221042871E-1,9.941324234E0
7.224364030E-1,1.556231081E-1,1.149216816E-1,9.950901031E0
7.244449450E-1,1.460463107E-1,1.029506698E-1,9.929352760E0
7.264534860E-1,1.508347094E-1,1.077390760E-1,9.946112633E0
7.284620280E-1,1.436520964E-1,1.197100878E-1,9.924564362E0
7.304705700E-1,1.532289088E-1,1.077390760E-1,9.934141159E0
7.324791110E-1,1.532289088E-1,1.125274822E-1,9.955689430E0
7.344876530E-1,1.580173075E-1,1.149216816E-1,9.958083153E0
7.364961950E-1,1.436520964E-1,1.077390760E-1,9.960477829E0
7.385047360E-1,1.436520964E-1,1.053448766E-1,9.936535835E0
7.405132780E-1,1.508347094E-1,1.077390760E-1,9.936535835E0
7.425218200E-1,1.532289088E-1,1.101332754E-1,9.943717957E0
7.445303610E-1,1.436520964E-1,1.101332754E-1,9.950901031E0
7.465389550E-1,1.388636976E-1,1.029506698E-1,9.977236748E0
7.485475490E-1,1.436520964E-1,1.197100878E-1,9.953294754E0
7.505561430E-1,1.316810995E-1,9.337386489E-2,9.950901031E0
7.525647360E-1,1.364694983E-1,1.101332754E-1,9.946112633E0
7.545733300E-1,1.532289088E-1,1.125274822E-1,9.943717957E0
7.565819240E-1,1.532289088E-1,8.379705995E-2,9.958083153E0
7.585905180E-1,1.484405100E-1,1.005564705E-1,9.974843025E0
7.605991110E-1,1.388636976E-1,1.173158810E-1,9.970054626E0
7.626077050E-1,1.340752989E-1,9.816227108E-2,9.967659950E0
7.646162990E-1,1.532289088E-1,1.077390760E-1,9.943717957E0
7.666248930E-1,1.412578970E-1,1.101332754E-1,9.970054626E0
7.686334860E-1,1.460463107E-1,8.858546615E-2,9.970054626E0
7.706420800E-1,1.460463107E-1,1.029506698E-1,9.982025146E0
7.726506740E-1,1.460463107E-1,1.101332754E-1,9.965266228E0
7.746592680E-1,1.436520964E-1,1.053448766E-1,9.941324234E0
7.766678610E-1,1.460463107E-1,1.053448766E-1,9.926959038E0
7.786764550E-1,1.460463107E-1,1.244984865E-1,9.929352760E0
7.806850490E-1,1.364694983E-1,9.576806426E-2,9.941324234E0
7.826936430E-1,1.436520964E-1,1.029506698E-1,9.943717957E0
7.847022360E-1,1.484405100E-1,9.097966552E-2,9.953294754E0
7.867108300E-1,1.388636976E-1,1.125274822E-1,9.948506355E0
7.887194240E-1,1.364694983E-1,9.576806426E-2,9.943717957E0
7.907280180E-1,1.460463107E-1,1.005564705E-1,9.929352760E0
7.927366110E-1,1.484405100E-1,1.077390760E-1,9.953294754E0
7.947452050E-1,1.460463107E-1,1.029506698E-1,9.943717957E0
7.967537990E-1,1.460463107E-1,1.029506698E-1,9.950901031E0
7.987623930E-1,1.484405100E-1,1.077390760E-1,9.946112633E0
8.007709860E-1,1.412578970E-1,1.005564705E-1,9.941324234E0
8.027795800E-1,1.580173075E-1,1.029506698E-1,9.929352760E0
8.047881740E-1,1.580173075E-1,1.053448766E-1,9.948506355E0
8.067967680E-1,1.580173075E-1,9.097966552E-2,9.953294754E0
8.088053610E-1,1.532289088E-1,9.576806426E-2,9.965266228E0
8.108139550E-1,1.532289088E-1,1.029506698E-1,9.958083153E0
8.128225490E-1,1.484405100E-1,1.077390760E-1,9.948506355E0
8.148311430E-1,1.508347094E-1,8.379705995E-2,9.941324234E0
8.168397360E-1,1.699883193E-1,1.005564705E-1,9.979631424E0
8.188483300E-1,1.532289088E-1,9.097966552E-2,9.958083153E0
8.208569240E-1,1.604115069E-1,8.619125932E-2,9.962871552E0
8.228655180E-1,1.532289088E-1,1.053448766E-1,9.967659950E0
8.248741110E-1,1.412578970E-1,1.053448766E-1,9.967659950E0
8.268827050E-1,1.508347094E-1,1.053448766E-1,9.953294754E0
8.288912990E-1,1.532289088E-1,9.816227108E-2,9.967659950E0
8.308998930E-1,1.436520964E-1,1.077390760E-1,9.970054626E0
8.329084860E-1,1.532289088E-1,1.029506698E-1,9.979631424E0
8.349170800E-1,1.556231081E-1,8.858546615E-2,9.955689430E0
8.369256740E-1,1.460463107E-1,1.029506698E-1,9.953294754E0
8.389342680E-1,1.316810995E-1,9.337386489E-2,9.943717957E0
8.409428610E-1,1.436520964E-1,1.005564705E-1,9.950901031E0
8.429514550E-1,1.532289088E-1,9.816227108E-2,9.950901031E0
8.449600490E-1,1.508347094E-1,9.337386489E-2,9.946112633E0
8.469686430E-1,1.556231081E-1,1.005564705E-1,9.955689430E0
8.489772360E-1,1.412578970E-1,9.576806426E-2,9.919775963E0
8.509858300E-1,1.460463107E-1,9.576806426E-2,9.934141159E0
8.529944240E-1,1.556231081E-1,9.816227108E-2,9.946112633E0
8.550030180E-1,1.532289088E-1,1.077390760E-1,9.955689430E0
8.570116110E-1,1.556231081E-1,1.005564705E-1,9.965266228E0
8.590202050E-1,1.484405100E-1,1.005564705E-1,9.967659950E0
8.610287990E-1,1.580173075E-1,1.149216816E-1,9.958083153E0
8.630373930E-1,1.436520964E-1,1.053448766E-1,9.953294754E0
8.650459860E-1,1.604115069E-1,1.053448766E-1,9.950901031E0
8.670545800E-1,1.532289088E-1,9.816227108E-2,9.967659950E0
8.690631740E-1,1.388636976E-1,1.125274822E-1,9.955689430E0
8.710717680E-1,1.532289088E-1,1.029506698E-1,9.958083153E0
8.730803610E-1,1.604115069E-1,9.576806426E-2,9.948506355E0
8.750889550E-1,1.580173075E-1,1.005564705E-1,9.946112633E0
8.770975490E-1,1.412578970E-1,1.244984865E-1,9.950901031E0
8.791061430E-1,1.628057212E-1,9.097966552E-2,9.967659950E0
8.811147360E-1,1.508347094E-1,1.077390760E-1,9.970054626E0
8.831233300E-1,1.628057212E-1,9.816227108E-2,9.950901031E0
8.851319240E-1,1.460463107E-1,9.816227108E-2,9.950901031E0
